Level,Recommendations
1,"['additional', 'ay', 'finding', 'signs', 'outside', 'and', 'inside', 'the', 'buildings', 'must', 'be', 'provided', 'likewise', 'painting', 'of', 'pathways', 'to', 'match', 'the', 'existing', 'old', 'green', 'is', 'suggested']"
1,"['provide', 'appropriate', 'facilities', 'for', 'persons', 'with', 'disability', 'pwd']"
1,"['finishing', 'or', 'plastering', 'of', 'the', 'newly', 'constructed', 'wing', 'of', 'the', 'college', 'building', 'is', 'recommended']"
1,"['material', 'recovery', 'facility', 'may', 'be', 'required', 'to', 'operate', 'regularly']"
1,"['regular', 'annual', 'pest', 'control', 'check', 'can', 'be', 'done', 'for', 'maintenance', 'of', 'buildings', 'offices', 'classrooms', 'and', 'other', 'important', 'facilities']"
1,"['functional', 'drinking', 'facilities', 'can', 'be', 'installed', 'inside', 'the', 'college', 'and', 'indoor', 'facilities', 'for', 'athletics']"
1,"['college', 'canteen', 'can', 'be', 'improved', 'or', 'if', 'the', 'budget', 'warrants', 'construction', 'of', 'new', 'building', 'for', 'food', 'services', 'to', 'accommodate', 'more', 'students']"
1,"['comfort', 'rooms', 'should', 'be', 'maintained', 'properly']"
1,"['landscaping', 'of', 'the', 'open', 'space', 'and', 'roofing', 'of', 'the', 'stage', 'are', 'suggested', 'to', 'make', 'it', 'more', 'functional']"
1,"['dedicated', 'faculty', 'lounge', 'can', 'be', 'provided', 'aside', 'form', 'the', 'spaces', 'inside', 'the', 'faculty', 'rooms', 'for', 'the', 'faculty', 'to', 'relax', 'or', 'received', 'visitors']"
1,"['completion', 'of', 'the', 'powerhouse', 'is', 'suggested', 'to', 'provide', 'better', 'electrical', 'services', 'to', 'the', 'campus']"
